Date,Close
1962-11-01,3.92
1962-12-03,3.93
1963-01-02,3.82
1963-02-01,3.88
1963-03-01,3.93
1963-04-01,3.95
1963-05-01,3.94
1963-06-03,3.98
1963-07-01,4.01
1963-08-01,3.99
1963-09-03,4.03
1963-10-01,4.07
1963-11-01,4.15
1963-12-02,4.09
1964-01-02,4.14
1964-02-03,4.15
1964-03-02,4.17
1964-04-01,4.23
1964-05-01,4.22
1964-06-01,4.19
1964-07-01,4.15
1964-08-03,4.19
1964-09-01,4.21
1964-10-01,4.18
1964-11-02,4.15
1964-12-01,4.2
1965-01-04,4.2
1965-02-01,4.2
1965-03-01,4.22
1965-04-01,4.2
1965-05-03,4.21
1965-06-01,4.23
1965-07-01,4.2
1965-08-02,4.22
1965-09-01,4.28
1965-10-01,4.36
1965-11-01,4.43
1965-12-01,4.52
1966-01-03,4.63
1966-02-01,4.69
1966-03-01,5.01
1966-04-01,4.7
1966-05-02,4.8
1966-06-01,4.79
1966-07-01,4.99
1966-08-01,5.05
1966-09-01,5.3
1966-10-03,5.08
1966-11-01,4.99
1966-12-01,5.09
1967-01-03,4.69
1967-02-01,4.52
1967-03-01,4.66
1967-04-03,4.5
1967-05-01,4.77
1967-06-01,4.81
1967-07-03,5.22
1967-08-01,5.18
1967-09-01,5.25
1967-10-02,5.35
1967-11-01,5.7
1967-12-01,5.78
1968-01-02,5.63
1968-02-01,5.58
1968-03-01,5.56
1968-04-01,5.64
1968-05-01,5.73
1968-06-03,5.79
1968-07-01,5.62
1968-08-01,5.38
1968-09-03,5.41
1968-10-01,5.49
1968-11-01,5.61
1968-12-02,5.89
1969-01-02,6.04
1969-02-03,6.22
1969-03-03,6.25
1969-04-01,6.25
1969-05-01,6.25
1969-06-02,6.56
1969-07-01,6.75
1969-08-01,6.66
1969-09-02,6.87
1969-10-01,7.52
1969-11-03,6.9
1969-12-01,7.29
1970-01-02,7.86
1970-02-02,7.65
1970-03-02,6.95
1970-04-01,7.04
1970-05-01,7.85
1970-06-01,7.84
1970-07-01,7.64
1970-08-03,7.39
1970-09-01,7.47
1970-10-01,7.29
1970-11-02,7.24
1970-12-01,6.48
1971-01-04,6.46
1971-02-01,6.09
1971-03-01,6.12
1971-04-01,5.58
1971-05-03,6.15
1971-06-01,6.36
1971-07-01,6.69
1971-08-02,6.86
1971-09-01,6.22
1971-10-01,6.0
1971-11-01,5.8
1971-12-01,5.92
1972-01-03,5.94
1972-02-01,6.09
1972-03-01,6.04
1972-04-03,6.14
1972-05-01,6.14
1972-06-01,6.07
1972-07-03,6.14
1972-08-01,6.14
1972-09-01,6.43
1972-10-02,6.54
1972-11-01,6.39
1972-12-01,6.29
1973-01-02,6.43
1973-02-01,6.54
1973-03-01,6.65
1973-04-02,6.74
1973-05-01,6.72
1973-06-01,6.96
1973-07-02,7.01
1973-08-01,7.55
1973-09-04,7.21
1973-10-01,6.91
1973-11-01,6.71
1973-12-03,6.69
1974-01-02,6.94
1974-02-01,7.0
1974-03-01,7.08
1974-04-01,7.42
1974-05-01,7.62
1974-06-03,7.53
1974-07-01,7.65
1974-08-01,7.92
1974-09-03,8.11
1974-10-01,7.97
1974-11-01,7.8
1974-12-02,7.71
1975-01-02,7.42
1975-02-03,7.49
1975-03-03,7.5
1975-04-01,8.08
1975-05-01,8.31
1975-06-02,8.02
1975-07-01,7.97
1975-08-01,8.26
1975-09-02,8.26
1975-10-01,8.47
1975-11-05,7.97
1975-12-01,8.12
1976-01-02,7.77
1976-02-02,7.8
1976-03-01,7.86
1976-04-01,7.68
1976-05-03,7.69
1976-06-01,7.94
1976-07-01,7.88
1976-08-02,7.85
1976-09-01,7.64
1976-10-01,7.49
1976-11-01,7.38
1976-12-01,6.97
1977-01-03,6.84
1977-02-01,7.41
1977-03-01,7.49
1977-04-01,7.43
1977-05-02,7.45
1977-06-01,7.38
1977-07-01,7.34
1977-08-01,7.43
1977-09-01,7.3
1977-10-03,7.41
1977-11-01,7.63
1977-12-01,7.58
1978-01-03,7.83
1978-02-01,7.96
1978-03-01,8.05
1978-04-03,8.13
1978-05-01,8.24
1978-06-01,8.41
1978-07-03,8.59
1978-08-01,8.54
1978-09-01,8.38
1978-10-02,8.58
1978-11-01,8.66
1978-12-01,8.8
1979-01-02,9.18
1979-02-01,8.94
1979-03-01,9.17
1979-04-02,9.11
1979-05-01,9.36
1979-06-01,9.05
1979-07-02,8.76
1979-08-01,8.99
1979-09-04,9.32
1979-10-01,9.51
1979-11-01,10.79
1979-12-03,10.44
1980-01-02,10.5
1980-02-01,11.29
1980-03-03,12.79
1980-04-01,12.69
1980-05-01,10.57
1980-06-02,10.31
1980-07-01,10.13
1980-08-01,10.76
1980-09-02,11.32
1980-10-01,11.78
1980-11-03,12.46
1980-12-01,12.92
1981-01-02,12.42
1981-02-02,12.86
1981-03-02,13.62
1981-04-01,13.14
1981-05-01,14.05
1981-06-01,13.46
1981-07-01,14.04
1981-08-03,14.95
1981-09-01,15.41
1981-10-01,15.75
1981-11-02,14.57
1981-12-01,13.37
1982-01-04,14.19
1982-02-01,14.58
1982-03-01,13.85
1982-04-01,14.1
1982-05-03,13.95
1982-06-01,13.93
1982-07-01,14.4
1982-08-02,13.41
1982-09-01,12.76
1982-10-01,11.51
1982-11-01,10.56
1982-12-01,10.74
1983-01-03,10.32
1983-02-01,10.78
1983-03-01,10.22
1983-04-04,10.6
1983-05-02,10.26
1983-06-01,10.77
